id,first_name,last_name,score
1,Reed,Sturtz,29
2,Lavonia,Tolve,46
3,Buford,Kaffka,89
4,Rich,Eppard,1
5,Burton,Otteson,81
6,Leonore,Klump,58
7,Lavon,Gilliland,67
8,Wonda,Whittiker,46
9,Wanita,Lamery,41
10,Irish,Alesi,34
11,Tomas,Rubie,1
12,Cyndy,Engelmann,11
13,Jeff,Asel,28
14,Derek,Palubiak,89
15,Lavona,Galka,65
16,Starla,Gottlieb,87
17,Tami,Zaritsky,28
18,Abbey,Golkin,0
19,Ada,Stecklein,77
20,Marisol,Layne,23
21,Bryant,Maran,34
22,Jame,Suter,100
23,Lashaunda,Klacic,43
24,Maryjane,Hennings,71
25,Katharyn,Reagan,78
26,Jeannine,Presser,78
27,Charlott,Skattebo,31
28,Ned,Gnatek,47
29,Tawny,Antoniou,91
30,Bong,Tipler,3
31,Irving,Jahnsen,85
32,Angelita,Ciminera,21
33,Aide,Shingleton,83
34,Christia,Strozier,22
35,Kathlyn,Carnes,54
36,Roslyn,Toledano,0
37,Timothy,Risenhoover,100
38,Van,Romanoski,1
39,Dawna,Garski,23
40,Corazon,Panton,48
41,Sanjuana,Fune,77
42,Jannet,Petter,4
43,Mechelle,Musse,71
44,Argentina,Means,75
45,Aline,Reategui,1
46,Aubrey,Mccaffrey,54
47,Wenona,Flowers,85
48,Thresa,Fortna,100
49,Shanel,Rosella,88
50,Rocco,Winterrowd,76
51,Kasandra,Bartlet,27
52,Lavenia,Eckroad,79
53,Max,Chioma,51
54,Tajuana,Cordes,32
55,Holly,Nicholes,87
56,Hannelore,Jurgenson,71
57,Sandra,Bontempo,56
58,Renay,Muss,48
59,Juan,Zelek,92
60,Vivan,Straugh,2
61,Debbi,Trippel,82
62,Isidra,Behan,50
63,Mayra,Yoshioka,83
64,Diego,Bellingham,4
65,Jeane,Housten,68
66,Tessa,Martinie,45
67,Ema,Drevs,100
68,Gilberto,Grumbine,13
69,Hiram,Calica,16
70,Vasiliki,Preciado,63
71,Zulema,Arendale,59
72,Rashida,Blakeslee,1
73,Jim,Alff,30
74,Brittani,Osmus,55
75,Karisa,Bicking,25
76,Agnes,Gercak,7
77,Hobert,Ardinger,37
78,Kathryn,Kitthikoune,89
79,Fannie,Wehrheim,66
80,Ronnie,Strauss,82
81,Argelia,Giegerich,12
82,Kristofer,Poties,40
83,Weldon,Mcbeath,57
84,Charleen,Shinault,24
85,Herma,Zeledon,44
86,Charles,Govern,5
87,Eura,Satre,46
88,Stasia,Whistle,94
89,Cicely,Ellingburg,55
90,Chieko,Mahnke,0
91,Jerrold,Beathe,82
92,Christiane,Pflieger,37
93,Lorenzo,Circle,93
94,Myesha,Baillargeon,38
95,Alaina,Caseres,72
96,Zoe,Yankovitch,69
97,Jacquiline,Ciesluk,96
98,Jacelyn,Felps,19
99,Glady,Ponte,32
100,Emely,Ramano,79
101,Linnea,Shahan,96
102,Vicente,Ebarb,39
103,Louetta,Kilts,72
104,Aide,Laditka,62
105,Oleta,Leclerc,22
106,Lahoma,Ruiloba,26
107,Fredrick,Turlich,43
108,Nikia,Belak,77
109,Paola,Stalder,66
110,Allen,Rosebaugh,37
111,Blanche,Mcgafferty,56
112,Brigid,Priess,27
113,Wei,Mazzillo,65
114,Adalberto,Eichhorn,61
115,Leisa,Mac,44
116,Lamonica,Balzarine,46
117,Johnetta,Jeff,3
118,Dakota,Rognstad,97
119,Melinda,Dory,40
120,Cameron,Toodle,59
121,Hae,Cuccinello,15
122,Joesph,Cheers,5
123,Wayne,Guempel,93
124,Rachal,Adema,30
125,Shera,Swimmer,90
126,Elwood,Bernath,90
127,Kenyetta,Mcspedon,6
128,Dottie,Hikel,18
129,Ginger,Yearous,9
130,Margot,Scheuermann,96
131,Keisha,Lennihan,34
132,Vella,Czapiewski,27
133,Susann,Glacken,18
134,Domingo,Hardimon,83
135,Donette,Lands,21
136,Dakota,Ritcheson,71
137,Jenell,Beeks,5
138,Jose,Collar,94
139,Kelli,Mozley,7
140,Allan,Bouyea,16
141,Marita,Bonapart,38
142,Dovie,Ecklund,60
143,Lavette,Gallahan,68
144,Lula,Mcparland,55
145,Domonique,Morehead,39
146,Patrice,Kounthapanya,27
147,Chara,Foye,38
148,Sung,Neither,74
149,Noella,Cocca,52
150,Joesph,Knobloch,64
151,Una,Redbird,94
152,Renda,Kras,9
153,Zita,Marzili,90
154,Maud,Stimler,20
155,June,Low,8
156,Lala,Montalvo,61
157,Carmine,Keirstead,15
158,Linwood,Reagin,61
159,Denita,Uitz,1
160,Ailene,Curi,76
161,Lillia,Lasseter,56
162,Eneida,Zupancic,96
163,Bettina,Bogh,59
164,Collette,Dunphe,25
165,Vanda,Hergenreter,80
166,Dorathy,Scola,1
167,Kimberely,Diercks,46
168,Rina,Duggar,97
169,Viva,Weispfenning,37
170,Darren,Raskin,6
171,Kristal,Heinis,59
172,Juliet,Lecaros,57
173,Dreama,Gardemal,57
174,Suzi,Caslin,87
175,Lamonica,Johanns,70
176,Ricky,Kressin,67
177,Isis,Brayer,64
178,Assunta,Shertzer,40
179,Gil,Austill,56
180,Nilda,White,95
181,Annette,Sendra,50
182,Richelle,Encinas,16
183,Robbyn,Mcclennan,80
184,Clarice,Tonnessen,33
185,Hilario,Novembre,23
186,Danelle,Wasden,35
187,Shaneka,Mooney,78
188,Katrice,Sterkel,17
189,Estella,Christlieb,31
190,Britany,Wininger,62
191,Nena,Gottlob,79
192,Jarod,Castellaneta,5
193,Majorie,Stoyanoff,59
194,Tera,Mayeaux,1
195,Dwain,Letchworth,72
196,Maya,Bomstad,45
197,Moshe,Grossi,75
198,Broderick,Meli,47
199,Paulette,Virgil,94
200,Teresita,Ansbro,27
201,Bart,Fleurant,2
202,Nichole,Disspain,44
203,Charis,Ifft,66
204,Shaunta,Angelson,28
205,Rosette,Fies,97
206,Joaquin,Sacre,73
207,Modesta,Seeney,77
208,Hiedi,Poulet,28
209,Booker,Vredenburgh,58
210,Serena,Shbi,72
211,Odis,Mcneece,43
212,Luella,Hanlon,86
213,Dorothy,Tuccio,10
214,Alesia,Snoke,51
215,Lecia,Minhas,28
216,Fausto,Trabert,36
217,Wayne,Suffern,37
218,Jonnie,Buzzelle,71
219,Rita,Stairs,59
220,Johnsie,Eskuchen,97
221,Rosanna,Edgeworth,38
222,Orlando,Arave,87
223,Corliss,Boulch,44
224,Torri,Dolby,59
225,Tambra,Gillison,41
226,Jennell,Fioto,70
227,Marisa,Nuckoles,1
228,Clarissa,Fluellen,75
229,Kellie,Shelburne,74
230,Cedric,Kalter,6
231,Winford,Mcnelis,53
232,Marya,Vinci,68
233,Monique,Tabon,42
234,Gillian,Allgire,66
235,Tara,Ronquillo,85
236,Elinor,Hoschouer,1
237,Tressa,Poucher,98
238,Leanora,Pribble,8
239,Suk,Pion,40
240,Deshawn,Dsouza,32
241,Johana,Graciana,19
242,Prudence,Swanton,49
243,Chet,Topel,18
244,Kelly,Griffard,58
245,Colby,Chachere,78
246,Yessenia,Reindeau,95
247,Adolfo,Ty,29
248,Rocio,Voran,63
249,Kyoko,Machowski,74
250,Carmina,Grigsby,15
251,Letty,Novelli,20
252,Birdie,Lunderman,5
253,Nellie,Georgi,27
254,Shonta,Hollifield,79
255,Everette,Beckles,86
256,Erick,Crossno,86
257,Eileen,Ahluwalia,21
258,Selma,Hardison,100
259,Shawnna,Basquez,22
260,Tammera,Mccarrick,66
261,Merna,Zambotti,17
262,Laquita,Fritzinger,62
263,Luetta,Covarrubias,73
264,Aldo,Wasurick,19
265,Derick,Sens,70
266,Leonarda,Dunahoe,56
267,Maricruz,Blint,88
268,Aileen,Harrigan,10
269,Jada,Scro,30
270,Lynna,Bialaszewski,82
271,Amelia,Stiverson,91
272,Cherry,Crogan,40
273,Minna,Kotrys,21
274,Merri,Chudzik,74
275,Pura,Arnst,89
276,Arden,Beachum,48
277,April,Bott,97
278,Lavelle,Messano,1
279,Jenny,Cephas,76
280,Carol,Pochintesta,50
281,Tessa,Labranche,88
282,Ima,Dunlow,62
283,Mirella,Marcelino,23
284,Marlene,Welburn,33
285,Hiedi,Albino,19
286,Sybil,Felder,98
287,Major,Gantzler,22
288,Brady,Trice,32
289,Kina,Clendaniel,98
290,Oneida,Hayburn,13
291,Kym,Melamed,54
292,Titus,Deily,62
293,Lianne,Garding,31
294,Kylie,Sodervick,42
295,Yajaira,Coxum,95
296,Vanita,Kundrick,23
297,Sibyl,Legore,82
298,Rosie,Ciervo,55
299,Trena,Seth,32
300,Alica,Grandmaison,35
301,Garrett,Russow,16
302,Desmond,Begaye,84
303,Marry,Kielich,26
304,Magnolia,Dearborn,92
305,Delcie,Siering,20
306,Octavia,Paongo,0
307,Kassie,Krenek,62
308,Susan,Tencza,46
309,Yulanda,Quay,41
310,Alejandro,Bouma,12
311,Sean,Stafiej,13
312,Mirella,Caracso,9
313,Verna,Iwanyszyn,21
314,Analisa,Huell,66
