id,first_name,last_name,score
1,Joel,Edleston,18
2,Joe,Muskett,68
3,Randa,Dehass,36
4,Roxann,Sau,24
5,Verlie,Temby,43
6,Dovie,Linzie,27
7,Kirstin,Slanina,41
8,Genie,Kenon,68
9,Emil,Alspach,3
10,Francoise,Delpino,63
11,Sergio,Lasala,76
12,Dani,Novotny,70
13,Tora,Wohlrab,66
14,Kelley,Arnholt,95
15,Apolonia,Gomey,14
16,Charles,Armbrister,9
17,Candi,Alwazan,76
18,Francis,Tipler,71
19,Alexa,Savitz,78
20,Cecelia,Sessin,24
21,Aja,Mangual,83
22,Valeria,Segal,4
23,Catheryn,Haney,54
24,Ali,Viren,100
25,Ta,Dubay,35
26,Aletha,Susor,14
27,Mel,Gombert,94
28,Callie,Hesters,84
29,Libby,Cutten,78
30,Barbar,Ximenez,14
31,Erik,Poteat,5
32,Michael,Nydegger,95
33,Venetta,Friscia,0
34,Brant,Matice,89
35,Milford,Iser,37
36,Casie,Bitters,87
37,Miquel,Troncoso,43
38,Shawanda,Schellin,49
39,Myles,Trueluck,22
40,Antonette,Tumbleston,89
41,Digna,Marchionni,26
42,Apryl,Mugleston,29
43,Mei,Emma,65
44,Elia,Ottley,39
45,Marcel,Lupez,47
46,Georgette,Waffle,19
47,Huong,Benzer,97
48,Camie,Ternullo,5
49,Hung,Pradier,25
50,Laticia,Palmerton,98
51,Emilia,Sandborg,82
52,Earline,Ternes,22
53,Mollie,Gruenhagen,15
54,Sonya,Hosse,93
55,Deloras,Dancer,22
56,Nicola,Rak,47
57,Leslee,Atcher,96
58,Patricia,Hulin,44
59,Jacque,Czaplinski,20
60,Shaneka,Newberry,17
61,Georgann,Binner,36
62,Theresia,Caldwell,33
63,Min,Klapp,11
64,Leah,Agoras,77
65,Hortensia,Brittman,59
66,Marva,Bartoli,8
67,Cicely,Kruer,5
68,Rolf,Shuhi,77
69,Merlyn,Coppler,50
70,Tyra,Forest,56
71,Shaunte,Lanie,60
72,Gwendolyn,Kellis,43
73,Samatha,Fridge,28
74,Vanna,Hrbacek,84
75,Kathern,Drewery,30
76,Guillermo,Levendoski,36
77,Ela,Olstad,20
78,Leandro,Roelfs,36
79,Clyde,Mannings,17
80,Jestine,Camareno,67
81,Lucie,Kristiansen,89
82,Bao,Pross,43
83,Gertrud,Ladesma,94
84,Laquita,Dedaj,48
85,Josefa,Zavcedo,91
86,Indira,Tayor,3
87,Lai,Blimka,14
88,Margherita,Cereo,39
89,Imogene,Walberg,6
90,Sasha,Schrecker,26
91,Ethel,Manard,43
92,Jacquiline,Amith,74
93,Clarisa,Comber,36
94,Perry,Krout,52
95,Nicole,Hylands,18
96,Romaine,Ichinose,4
97,Edgar,Aeschliman,53
98,Nana,Radwan,70
99,Travis,Kuhens,8
100,Mei,Hanhardt,26
101,Maurice,Sarah,86
102,Rosaria,Lomonte,72
103,Elizabet,Vigneault,4
104,Omega,Cantrall,6
105,Serina,Hink,51
106,Scot,Coarsey,39
107,Jayne,Contrell,92
108,Evelynn,Kalafut,38
109,Jeffery,Oros,32
110,Anissa,Selfe,49
111,Cinderella,Campau,90
112,Milagros,Popple,62
113,Evelin,Walema,65
114,Rayford,Wheler,29
115,Rafael,Swierczek,19
116,Eloisa,Stien,64
117,Valda,Triplett,80
118,Sandy,Linberg,20
119,Carrol,Lingad,14
120,Nana,Gutches,20
121,Jeanette,Monnin,53
122,Cherlyn,Falgout,28
123,Pauline,Boevers,67
124,Claretha,Blom,41
125,Claud,Prible,3
126,Wesley,Sunde,4
127,Kaci,Ziska,12
128,Victoria,Waybright,23
129,Dante,Rempel,83
130,Carla,Lefler,11
131,Solomon,Sweeten,14
132,Mari,Kohlhepp,59
133,Dionna,Osswald,20
134,Esta,Jorgensen,66
135,Junie,Slocomb,89
136,Muoi,Mossey,44
137,Eldridge,Shukert,64
138,Isaiah,Conrow,98
139,Merle,Reineke,13
140,Johnetta,Amirian,5
141,Dorsey,Skates,86
142,Tena,Casabona,98
143,Alethia,Payor,56
144,Toni,Hottell,63
145,Carleen,Mania,90
146,Shauna,Stearnes,53
147,Gennie,Hazell,74
148,Danny,Kinder,94
149,Alba,Tangerman,6
150,Mitzie,Eunice,33
151,Lenard,Mender,80
152,Manda,Neives,66
153,Shelby,Voitier,72
154,Pamella,Mattioli,90
155,Emmitt,Bosserman,8
156,Kenya,Heffren,84
157,Wilbert,Closs,10
158,Asha,Henschen,39
159,Winfred,Rojero,13
160,Verdie,Hubbel,77
161,Kourtney,Hoffses,37
162,Albertine,Rushforth,57
163,Arturo,Peale,93
164,Wanita,Trumball,44
165,Nida,Lacerda,15
166,Sylvia,Lukehart,66
167,Sylvie,Domingez,80
168,Eliza,Figgeurs,93
169,Senaida,Rocchi,16
170,Sherlene,Brenton,76
171,Adalberto,Rothenberger,60
172,Jaime,Esten,42
173,Brent,Montemayor,86
174,Ileen,Guy,25
175,Tabatha,Winsor,53
176,Stefanie,Schippers,82
177,Crissy,Poormon,3
178,Jeffrey,Decastro,15
179,Eliz,Stenman,63
180,Mozella,Pinzino,72
181,Yuk,Belardo,74
182,Jacquelyn,Shuptrine,59
183,Annabell,Morasco,46
184,Kristan,Cumbo,79
185,Cecile,Hoganson,42
186,Gertrudis,Leeper,78
187,Lino,Abadi,60
188,Merry,Laserna,17
189,Gayle,Kuhns,55
190,Yuette,Uccello,8
191,Dorethea,Cerceo,93
192,Malia,Ordal,17
193,Li,Baldelli,95
194,Lilian,Grodecki,33
195,Virgie,Tyner,76
196,Cari,Mcgeady,84
197,Shizue,Lafluer,83
198,Winston,Beghtol,16
199,Fritz,Rump,25
200,Donte,Mackechnie,70
201,Charmaine,Shotton,64
202,Marinda,Moeder,15
203,Codi,Jannsen,35
204,Rosalinda,Weckwerth,25
205,Judy,Shaul,9
206,Dewitt,Cranson,17
207,Kassandra,Steik,66
208,Joaquina,Sauler,95
209,Arminda,Byrge,51
210,Alleen,Beeching,53
211,Ara,Golightley,30
212,Eugene,Cumbass,58
213,Norma,Silvertooth,5
214,Jewel,Kukucka,26
215,Willow,Slanker,92
216,Manie,Kalima,46
217,Myra,Manzay,79
218,Claire,Starek,28
219,Towanda,Hamburger,76
220,Viva,Huyser,59
221,Gloria,Roulhac,34
222,Sharron,Stoffregen,78
223,Cher,Pollom,86
224,Eliza,Mersch,32
225,Tomas,Camelo,53
226,Verlie,Levels,34
227,Wilson,Sieloff,93
228,Elenor,Mozak,3
229,Elisa,Omli,83
230,Lucrecia,Pouncey,8
231,Sean,Levoci,41
232,Rosana,Cabiles,51
233,Jill,Margolies,5
234,Gena,Englander,34
235,Shakita,Rinker,0
236,Norris,Lurie,85
237,Leila,Clymer,53
238,Angila,Struiksma,44
239,Yajaira,Mercedes,25
240,Nicki,Tosh,17
241,Debroah,Baraw,71
242,Joselyn,Gronberg,88
243,Asa,Orte,98
244,Stanton,Labarbara,43
245,Leonie,Deross,83
246,Herminia,Hetchman,98
247,Eliana,Baiz,99
248,Rashad,Masiclat,86
249,Beverly,Panagiotopoul,39
250,Sadie,Duk,29
251,Darcel,Silverthorne,34
252,Rubie,Boeckmann,88
253,Clinton,Arkema,91
254,Willetta,Kirschman,52
255,Damion,Soles,49
256,Belle,Lower,52
257,Madonna,Zorns,5
258,Edgar,Costain,57
259,Rubye,Belue,95
260,Mammie,Arp,17
261,Michiko,Clothier,40
262,Jacquelyn,Stillions,33
263,Hanh,Fearing,86
264,Herb,Naquin,61
265,Lachelle,Schunk,26
266,Tamekia,Elkan,20
267,Elenora,Rauco,94
268,Abdul,Haroldsen,79
269,Corene,Hradecky,9
270,Emory,Lecain,0
271,Essie,Beguelin,78
272,Azalee,Ashmen,91
273,Coleen,Rieve,98
274,Gil,Cozadd,6
275,Kum,Younge,45
276,Ian,Watkins,27
277,Francine,Ganzer,62
278,Lesli,Dougharty,18
279,Shawna,Wandel,97
280,Faustino,Gurrola,24
281,Travis,Lerman,64
282,Maricela,Drewry,28
283,Crista,Duling,89
284,Fonda,Elguezabal,66
285,Elenor,Tome,47
286,Freeda,Levendoski,56
287,Jannet,Lowrimore,41
288,Noah,Keye,88
289,Edythe,Bernstein,60
290,Shane,Bocchicchio,26
291,Jolene,Rhodd,27
292,Zoraida,Rodregez,84
293,Ada,Koelbel,27
294,Reinaldo,Karn,89
295,Martine,Sacavage,78
296,Jonell,Loli,38
297,Nikia,Dallavalle,60
298,Cornelia,Negro,21
299,Diedre,Villanvera,98
300,Viviana,Troester,7
301,Kayla,Stempien,78
302,Shu,Buchli,82
303,Charmain,Sanday,35
304,Myles,Degeyter,51
305,Lucille,Garriott,72
306,Alia,Reppell,87
307,Deandrea,Kocik,49
308,Merry,Disspain,33
309,Ezekiel,Gosline,77
310,Nila,Leilich,47
311,Simon,Portugal,18
